Name, Symbol, Atomic_Number, Atomic_Weight, Melting_Point, Boiling_Point, Atomic_Radius, Specific_Heat, Electronic_Configuration
Hydrogen, H,1,1.00794,14.01,20.28,79,14.267 (H-H),1s¹
Helium, He,2,4.002602,0.95,4.216,0,5.188,1s²
Lithium, Li,3,6.941,553.69,1118.15,155,3.489,[He]2s¹
Beryllium, Be,4,9.01218,1551,3243,112,1.824,[He]2s²
Boron, B,5,10.811,2573,3931,98,1.025,[He]2s²2p¹
Carbon, C,6,12.011,3820,5100,91,0.711,[He]2s²2p²
Nitrogen, N,7,14.00674,63.29,77.4,92,1.042 (N-N),[He]2s²2p³
Oxygen, O,8,15.9994,54.8,90.19, -,0.916 (O-O),[He]2s²2p
Fluorine, F,9,18.998403,53.53,85.01, -,0.824 (F-F),[He]2s²2p
Neon, Ne,10,20.1797,48,27.1, -,1.029,[He]2s²2p
Sodium, Na,11,22.989768,370.96,1156.1,190,1.222,[Ne]3s¹
Magnesium, Mg,12,24.305,922,1363,160,1.025,[Ne]3s²
Aluminum, Al,13,26.981539,933.5,2740,143,0.9,[Ne]3s²3p¹
Silicon, Si,14,28.0855,1683,2628,132,0.703,[Ne]3s²3p²
Phosphorus, P,15,30.973762,317.3,553,128,0.757,[Ne]3s²3p³
Sulfur, S,16,32.066,386,717.824,127,0.732,[Ne]3s²3p
Chlorine, Cl,17,35.4527,172.2,238.6, -,0.477 (Cl-Cl),[Ne]3s²3p
Argon, Ar,18,39.948,83.8,87.3, -,0.138,[Ne]3s²3p
Potassium, K,19,39.0983,336.8,1047,235,0.753,[Ar]4s¹
Calcium, Ca,20,40.078,1112,1757,197,0.653,[Ar]4s²
Scandium, Sc,21,44.95591,1814,3104,162,0.556,[Ar]3d¹4s²
Titanium, Ti,22,47.88,1933,3560,147,0.523,[Ar]3d²4s²
Vanadium, V,23,50.9415,2160,3650,134,0.485,[Ar]3d³4s²
Chromium, Cr,24,51.9961,2130,2945,130,0.488,[Ar]3d4s¹
Manganese, Mn,25,54.93805,1517,2235,135,0.477,[Ar]3d4s²
Iron, Fe,26,55.847,1808,3023,126,0.443,[Ar]3d4s²
Cobalt, Co,27,58.9332,1768,3143,125,0.456,[Ar]3d4s²
Nickel, Ni,28,58.6934,1726,3005,124,0.443,[Ar]3d4s²
Copper, Cu,29,63.546,1356.6,2840,128,0.385,[Ar]3d¹4s¹
Zinc, Zn,30,65.39,692.73,1180,138,0.388,[Ar]3d¹4s²
Gallium, Ga,31,69.723,302.93,2676,141,0.372,[Ar]3d¹4s²4p¹
Germanium, Ge,32,72.61,1210.6,3103,137,0.322,[Ar]3d¹4s²4p²
Arsenic, As,33,74.92159,1090,876,139,0.328,[Ar]3d¹4s²4p³
Selenium, Se,34,78.96,490,958.1,140,0.321 (Se-Se),[Ar]3d¹4s²4p
Bromine, Br,35,79.904,265.9,331.9, -,0.473 (Br-Br),[Ar]3d¹4s²4p
Krypton, Kr,36,83.8,116.6,120.85, -,0.247,[Ar]3d¹4s²4p
Rubidium, Rb,37,85.4678,312.2,961,248,0.36,[Kr]5s¹
Strontium, Sr,38,87.62,1042,1657,215,0.301,[Kr]5s²
Yttrium, Y,39,88.90585,1795,3611,178,0.284,[Kr]4d¹5s²
Zirconium, Zr,40,91.224,2125,4650,160,0.281,[Kr]4d²5s²
Niobium, Nb,41,92.90638,2741,5015,146,0.268,[Kr]4d5s¹
Molybdenum, Mo,42,95.94,2890,4885,139,0.251,[Kr]4d5s¹
Technetium, Tc,43,97.9072,2445,5150,136,0.243,[Kr]4d5s¹
